AuthorName,aPublication,coAuthor,yearsInField,venueImpact,h-Index,i10-Index,aRefs,TotalCitation,CitationsPerYear
A. Elqortobi,1,3,1,25,1,1,0,132,132
A. Elyada,1,2,1,28,1,0,12,5,5
A. Erzmann,1,2,1,16,1,0,0,1,1
A. Espinosa,1.666666667,5.666666667,3,26.66666667,4,2,0,74,24.66666667
A. Essen,1,9,1,50,1,1,5,11,11
A. F. Bashir,1,2,1,27,1,1,0,20,20
A. F. Franz,1,1.5,4,28,1,1,0,26,6.5
A. F. Ghoniem,1,5,1,37,1,0,1,8,8
A. F. Hutchings,1,3,7,39,1,0,0.5,6,0.857142857
A. F. McGrowen,1,1,1,37,0,0,0,0,0
A. F. Tasch Jr.,1.5,3.5,4,42,2,1,0,26,6.5
A. Fanian,1,2,1,13,1,0,9,8,8
A. Farhat,1,3.25,13,25.75,2,0,3.5,8,0.615384615
A. Feki,1,5,3,14.5,1,0,0,1,0.333333333
A. Feller,1,2,8,32,2,1,0,48,6
A. Femminella,1,1,1,18,1,0,0,2,2
A. Fernandez-Le\xc3\xb3n,1,6,1,20,1,0,0,8,8
A. Ferre-Vilaplana,1,1,1,49,0,0,9,0,0
A. Flores,3.076923077,9.769230769,13,67.15384615,15,20,4.461538462,536,41.23076923
A. Forin,1,3,1,28,1,0,6,6,6
A. Formiconi,1,8,1,38,1,1,0,21,21
A. Fotowat-Ahmadi,1,4,1,15,1,0,1,2,2
A. Frederick Rosene,1,0,1,32,0,0,0,0,0
A. Frick,1,4,31,26,0,0,0.666666667,0,0
A. Furness,2.083333333,5.583333333,16,34.16666667,14,14,1.333333333,764,47.75
A. G. Hawkes,1,1.5,18,11,1,0,1,3,0.166666667
A. G. Ivakhnenko,1,1,7,12,1,0,0,3,0.428571429
A. G. Livitsanos,2,6,1,64,1,0,0,7,7
A. Gaber Mohamed,1.333333333,3.666666667,4,40,2,2,0.333333333,40,10
A. Garc\xc3\xada,5.75,29.6875,16,140.75,15,22,2.9375,781,48.8125
A. Gaur,1,1.5,7,14.5,1,1,0,17,2.428571429
A. Geeta Madhuri,1,7,1,12,0,0,0,0,0
A. Genthner,1,3,1,37,0,0,0,0,0
A. George,1.444444444,6.888888889,32,47.33333333,7,7,0.222222222,502,15.6875
A. Gerber,1,7,1,25,0,0,0,0,0
A. Ghasemi,0,1,1,0,0,0,0,0,0
A. Ghosh,1.142857143,4.857142857,16,15.57142857,4,3,0,87,5.4375
A. Ghrab,1,5,1,34,1,1,0,11,11
A. Giambastiani,1.666666667,9.666666667,5,72.33333333,4,2,0.666666667,30,6
A. Gill Waters,1.444444444,2.777777778,23,35.11111111,7,6,3.222222222,136,5.913043478
A. Giordano,1.571428571,3.857142857,16,29.71428571,5,1,0,45,2.8125
A. Giri,1,7,14,69,1,0,0,4,0.285714286
A. Giugliano,1,1,1,32,0,0,0,0,0
A. Giulietti,1,5,1,32,1,1,4,11,11
A. Goel,1,3.333333333,8,46,1,0,4.666666667,3,0.375
A. Goggi,0,4,1,0,0,0,0,0,0
A. Golfarelli,1,7,1,28,1,0,0,1,1
A. Gomez,2.142857143,12.42857143,17,57.28571429,4,3,0.857142857,56,3.294117647
A. Gonzalez,2.833333333,17.08333333,30,86.58333333,9,9,0.75,330,11
A. Grall,2,5,1,67,2,2,0,111,111
A. Grama,1,2,1,37,0,0,0,0,0
A. Grbic,1,12.33333333,5,28,3,3,1,101,20.2
A. Greenbaum,1,4.5,2,27.5,1,1,2.5,343,171.5
A. Grzeszczak,1,2,1,28,1,1,0,174,174
A. Gupta,1.222222222,4.666666667,27,34.44444444,8,6,0,294,10.88888889
A. H. Bhalerao,1,2,1,38,1,0,0,4,4
A. H. Bratt,1.5,3,2,16.5,2,0,0,11,5.5
A. H. G. Al-Dhaher,1,0,1,24,0,0,0,0,0
A. H. Shantia,1,4.5,2,26,1,0,0,3,1.5
A. H. Sherman,1,4,1,38,0,0,0,0,0
A. H. Teger,1.5,1.5,4,24.5,1,1,0,18,4.5
A. Haider,1.75,22.5,6,47.75,5,4,1.25,168,28
A. Hakan Baba,0,2,1,0,0,0,0,0,0
A. Haque,1.333333333,13,5,27,2,0,0,13,2.6
A. Hassibi,1,2,1,34,1,1,0,12,12
A. Hayes,1.142857143,6.714285714,17,36,5,4,1,182,10.70588235
A. Heard,1,4,3,12,1,0,0,3,1
A. Heinisch,0,4,1,0,0,0,0,0,0
A. Hern\xc3\xa1ndez,4.705882353,27.47058824,21,189.3529412,19,28,12.23529412,3702,176.2857143
A. Hess,1,2.125,29,31.5,4,3,0,234,8.068965517
A. Hetzner,1,2,1,8,1,0,0,1,1
A. Hilton,1,3.2,23,21.8,3,3,0.4,41,1.782608696
A. Hirano,1,4,1,38,1,0,0,8,8
A. Hoefler,0,2,1,0,0,0,0,0,0
A. Hoisie,1,2,1,37,0,0,0,0,0
A. Hor\xc3\xa1nyi,1,10.5,3,15.5,2,0,0,8,2.666666667
A. Hori,1,11,1,16,1,0,0,8,8
A. Hornik,1,4,1,26,1,0,6,3,3
A. Horv\xc3\xa1th,1,9,3,12.5,2,0,0,8,2.666666667
A. Houelle,1.5,6,4,28,2,0,0,14,3.5
A. Hudoklin,1,1,1,17,1,1,0,23,23
A. Hulsmann,1,20,1,28,1,0,0,5,5
A. Hunter,1.4,8.2,49,49.6,2,1,0.8,183,3.734693878
A. Hutter,1,6,1,32,1,1,3,27,27
A. I. Huang,1,5,1,38,1,1,0,22,22
A. I. Larky,1,2,1,32,1,0,0,1,1
A. I. Noor,1,2,1,20,0,0,0,0,0
A. I. Omer,0,4,1,0,0,0,0,0,0
A. I. Volodin,1,2,1,17,1,1,0,14,14
A. I. Wright,1,2,1,32,0,0,0,0,0
A. Ignatowski,1,3,1,32,1,0,0,2,2
A. Ike,1,6.5,11,32,1,1,2.5,11,1
A. Irion,1,3,1,34,1,0,6,9,9
A. J. Becker,1,4,1,32,1,0,0,1,1
A. J. Budrys,1,2,1,18,1,0,0,4,4
A. J. Dammers,1,1,1,27,1,0,1,7,7
A. J. Field,1.352941176,2.705882353,24,30.29411765,9,8,4.058823529,1110,46.25
A. J. Fry,1,0,1,17,1,0,0,6,6
A. J. Garc\xc3\xada-Loureiro,0,4,1,0,0,0,0,0,0
A. J. Goldstein,1,1,4,34,2,0,0,12,3
A. J. Guttmann,1.5,0.5,2,23,1,0,0,4,2
A. J. Huang,1,1,1,25,1,0,0,3,3
A. J. Kfoury,1.904761905,2.142857143,31,52.04761905,17,20,2.952380952,1076,34.70967742
A. J. KleinOsowski,1.333333333,5.333333333,7,24,4,4,1.333333333,379,54.14285714
A. J. Korenjak,1.5,1.25,12,54,2,2,1,192,16
A. J. Lavery,1,3,1,12,1,0,0,9,9
A. J. Newell,1,1,1,38,1,1,0,10,10
A. J. Rossini,0,2,1,0,0,0,3,0,0
A. J. Stone,1,0,1,32,0,0,0,0,0
A. J. W. M. ten Berg,1.5,1,2,21,2,1,0,17,8.5
A. J. van de Goor,4.571428571,8.476190476,23,86,26,46,4.714285714,2168,94.26086957
A. J. van der Hoeven,1,3,6,29,2,1,2.5,14,2.333333333
A. J\xc3\xa1vor,1,1,1,18,1,0,0,1,1
A. Ja. Shalaev,1,1,1,27,1,0,0,2,2
A. Jain,1.142857143,3.714285714,30,36.28571429,6,6,0,748,24.93333333
A. Jameel,1,2,2,24,2,0,0,16,8
A. Jefferson Offutt,2.842105263,5.315789474,22,63.73684211,32,42,7.157894737,4017,182.5909091
A. Jeffroy,1,4,1,26,1,0,5,9,9
A. Jemai,1,2,7,18.5,1,0,2,3,0.428571429
A. Jerry Baker,2,4,3,29,5,0,0,32,10.66666667
A. Johnstone,1,3.5,16,16,2,0,0,10,0.625
A. Joseph Hoane,1,3,11,32.33333333,2,1,1,38,3.454545455
A. Joseph Hoane Jr.,1,2,8,41.5,1,1,1.5,35,4.375
A. Joshi,2,26.85714286,8,51.28571429,9,8,2.285714286,350,43.75
A. Junique,1,22,1,12,0,0,0,0,0
A. K. Argawala,1,1,1,25,1,1,0,10,10
A. K. Bandyopadhyay,1.125,3.25,32,20.75,4,0,0,36,1.125
A. K. Betts,1.5,4,2,33,2,0,0,8,4
A. K. Biyani,1,6,1,32,0,0,0,0,0
A. K. Choudhury,1,3.2,33,25.2,5,1,1,89,2.696969697
A. K. Datta,1.142857143,2.142857143,21,57.71428571,3,2,0,38,1.80952381
A. K. George,1,0,1,32,0,0,0,0,0
A. K. Majumdar,2,6,1,39,1,0,0,4,4
A. K. Majumder,1,2,1,22,1,1,0,17,17
A. K. Mishra,1,15,1,34,1,1,0,18,18
A. K. Rajasekar,1,2,1,50,0,0,0,0,0
A. K. Riemens,1,5,8,14,2,1,0,22,2.75
A. K. Singh,1.4,6.8,27,28.6,3,2,3,51,1.888888889
A. K. Tayebi,1,2,1,23,0,0,0,0,0
A. Kahng,1,6,1,32,1,0,0,1,1
A. Kanakis,0,2,1,0,0,0,10,0,0
A. Kansal,1,4,1,37,1,1,0,13,13
A. Kapoor,1.25,5,5,51.5,3,3,0.25,48,9.6
A. Karande,1,2,1,24,1,1,0,63,63
A. Karmakar,1,6,9,21.5,1,0,0,1,0.111111111
A. Kasprzak,1,1,1,27,1,1,0,16,16
A. Kaveti,1,2,1,13,1,0,0,3,3
A. Kavipurapu,1,10,1,32,1,0,0,7,7
A. Khandekar,1,5,1,12,0,0,0,0,0
A. Klausmann,1,4,1,20,1,1,0,30,30
A. Klein,3.92,17,29,85.64,28,46,4.36,5047,174.0344828
A. Kokossis,1,8,1,16,1,0,1,8,8
A. Kolodnyt,1,4,1,13,1,1,0,62,62
A. Kovaleski,1,2,2,23.5,1,0,0,8,4
A. Krishnamoorthy,2.25,8.75,14,58,10,10,1.875,209,14.92857143
A. Kuchlous,1,2,1,20,1,1,0,11,11
A. Kumar,3.333333333,11.06666667,23,126.5333333,14,18,3.866666667,777,33.7826087
A. Kung,1,20,1,25,1,0,0,5,5
A. Kurylo,1,1,1,32,0,0,0,0,0
A. Kusmierczyk,2,2,1,38,2,0,0,10,10
A. Kuth,1,4,1,23,1,0,0,2,2
A. Kutlu,4,10,1,65,3,3,0,50,50
A. L. Burress,1.5,1.5,3,34,1,1,0,37,12.33333333
A. L. Davis,1,0,9,36,0,0,0.5,0,0
A. L. Eshleman,1,1,1,32,1,1,0,12,12
A. L. Frisiani,1,1.666666667,22,19,1,0,0,3,0.136363636
A. L. Lakshminarasimhan,1.333333333,1.333333333,5,32,2,1,0,19,3.8
A. L. Lambiris,2,8,1,48,2,0,0,14,14
A. L. Narasimha Reddy,3,5.090909091,23,96.40909091,25,41,8.227272727,2261,98.30434783
A. L. Silburt,1,2,1,28,1,1,0,11,11
A. L. Thring,1,3,1,22,1,0,0,9,9
A. L. Ting,1,6,1,50,1,1,4,18,18
A. L. Wintenberg,1,11,5,27.5,1,0,0,6,1.2
A. Labarthe,1,3,2,27,1,0,0,1,0.5
A. Labunetz,1,2,3,80,2,0,0,6,2
A. Landauro,1,1,1,27,0,0,0,0,0
A. Langmaier,1,10,1,28,1,1,0,39,39
A. Lascaratos,1,5,1,16,1,0,0,8,8
A. Lassauniere,1,4,1,29,1,0,0,1,1
A. Laudenbach,1,2,1,9,1,0,0,2,2
A. Laxmikant,1,3,1,38,1,1,0,54,54
A. Lazzeri,1,7,1,13,1,0,1,1,1
A. Leandri,1.333333333,6.333333333,5,26.66666667,2,2,0,73,14.6
A. Leaver,1,2,1,28,1,0,14,5,5
A. Lebeck,1,3,1,11,0,0,0,0,0
A. Lecerf,1,3,1,19,1,0,0,3,3
A. Lechner,1.166666667,2.166666667,46,27.33333333,2,1,0,22,0.47826087
A. Legaz-Cano,1,4,1,20,1,0,0,2,2
A. Lehmann,1.2,7,17,30.2,3,2,0.2,216,12.70588235
A. Lima,2.4,7.3,13,48,9,8,3.1,219,16.84615385
A. Liothin,1,6,1,32,1,1,0,18,18
A. Lipman,1,1,1,28,1,1,0,11,11
A. Lock,1.384615385,4.538461538,23,27.07692308,6,4,1.153846154,121,5.260869565
A. Luchetta,1,1.5,5,34,2,1,0,18,3.6
A. Lumsdaine,1,2,1,32,1,1,0,44,44
A. Lynn Abbott,1.466666667,3.6,21,66.8,11,13,0.4,686,32.66666667
A. M. Abd-Alla,2,3.5,31,69.5,5,4,0.5,70,2.258064516
A. M. Baker,1,1,1,37,1,0,0,6,6
A. M. Barone,1,2.5,5,26.5,2,1,0,13,2.6
A. M. Beyls,1,4,1,32,1,0,0,8,8
A. M. Buckley,0,4,1,0,0,0,0,0,0
A. M. Fahim,1.5,2,2,48,3,0,0,13,6.5
A. M. K. Cheng,1,2,1,38,1,1,0,20,20
A. M. Majid,1.25,5,4,50.25,3,2,0.5,30,7.5
A. M. Maras,1,1,11,52.66666667,2,2,0,26,2.363636364
A. M. Mathai,1,2,4,17,1,0,0,4,1
A. M. Mazzone,1.5,0.5,2,42,1,0,0,6,3
A. M. Natarajan,2,5.333333333,5,22.33333333,2,0,0,17,3.4
A. M. Patel,1,2,10,33,1,1,0,19,1.9
A. M. Peskin,1,0,1,50,1,0,0,2,2
A. M. Prados,1,3,1,24,1,1,0,19,19
A. M. Rassau,1.2,5.2,9,20.2,3,1,0.4,19,2.111111111
A. M. Schowe,1,3,1,32,1,1,0,43,43
A. M. White,1,1.5,15,26.5,0,0,0,0,0
A. M. Zarkesh,1,2,1,34,1,0,2,1,1
A. M. del Corral,1.5,1.5,5,50.5,2,0,4.5,10,2
A. Maamar,1,1,2,31.5,1,1,0,22,11
A. Madan,1,8.5,2,10.5,1,0,0,2,1
A. Mahanta,1,2.666666667,5,11.66666667,1,0,0,9,1.8
A. Majumdar,1,10,1,27,1,1,3,17,17
A. Makridakis,1,11,1,18,1,1,10,46,46
A. Manikonda,1,4,1,16,0,0,0,0,0
A. Manoj Kumar,3,7.5,2,68.5,1,0,3,4,2
A. Manzak,1,1,1,28,1,1,0,73,73
A. Margarino,1,4,1,28,1,1,0,64,64
A. Maria,2,5.473684211,26,36.89473684,16,21,3.947368421,1010,38.84615385
A. Marshall,2,7.416666667,20,57.91666667,8,8,0.083333333,508,25.4
A. Mart\xc3\xadnez,4.833333333,41.08333333,15,89.5,9,9,3.916666667,464,30.93333333
A. Martinez,2.272727273,15.54545455,16,64.54545455,9,8,0.545454545,207,12.9375
A. Martinez-Alvarez,0,5,1,0,0,0,0,0,0
A. Massarotti,1,3,30,9.25,1,0,1.75,6,0.2
A. Matsuda,0,4,1,0,0,0,0,0,0
A. McDonald,1.125,3.875,30,25.875,3,2,2.875,43,1.433333333
A. McKay,1,1.75,22,20.5,3,0,0,13,0.590909091
A. McKenney,1,5.5,4,30,2,2,4,397,99.25
A. Medepalli,1,1,1,27,1,1,9,11,11
A. Menchikov,1,3,1,34,1,0,0,2,2
A. Messina,1,4.8,21,14,2,1,0.6,16,0.761904762
A. Mettas,1,3,2,17,2,1,0,17,8.5
A. Miara,1,1.666666667,3,32,3,1,0,23,7.666666667
A. Michael Berman,2.625,3.875,12,50.25,5,2,3.5,53,4.416666667
A. Michael Salem,1,3,1,2,1,1,0,15,15
A. Micklethwaite,1,2,1,32,0,0,0,0,0
A. Migliaro,2,6,1,33,1,1,0,26,26
A. Milici,1,1.5,15,41,1,1,0,20,1.333333333
A. Min Tjoa,6.347826087,17.13043478,30,97.04347826,23,45,5.130434783,1440,48
A. Minematsu,1,4,2,38.5,1,0,2,3,1.5
A. Mirzaei,1,3.5,2,10,0,0,0,0,0
A. Misra,1,120,1,37,1,1,0,409,409
A. Mocuta,1,5,1,12,1,0,0,1,1
A. Moniwa,3,12,1,84,2,1,0,20,20
A. Montanaro,1,5,2,27.5,1,1,0,23,11.5
A. Moorthy,1,3,1,25,1,1,0,99,99
A. Moosman,1,2,1,17,1,1,0,13,13
A. Morozov,1.4,14,8,42.4,3,2,0,43,5.375
A. Muff,1,113,1,37,1,1,0,409,409
A. Murat Fiskiran,2.5,3.5,5,48.75,8,8,1.25,193,38.6
A. Murat Yagci,0,4,1,0,0,0,2,0,0
A. Myers,8.208333333,24.75,26,278.5,54,150,51.375,12332,474.3076923
A. N. Chandorkar,1.5,6.5,9,18,1,0,0,5,0.555555556
A. N. Dadaliaris,1,3,1,14,1,0,0,2,2
A. N. Das,1,1,1,17,1,1,0,15,15
A. N. Eden,1,1,1,44,1,1,7,194,194
A. N. Evans,0,2,1,0,0,0,0,0,0
A. N. M. Ehtesham Rafiq,1,1.666666667,3,27,2,2,5.333333333,27,9
A. N. Satrawala,1,5,1,20,1,1,9,13,13
A. Nabavi,1.333333333,3,7,17,2,0,0,5,0.714285714
A. Nadgir,3,10,1,53,2,1,15,37,37
A. Nakamura,1,3.5,34,44,2,2,0,43,1.264705882
A. Nardi,2.95,10.1,23,86.95,28,37,7.15,5330,231.7391304
A. Nascetti,1,10,1,6,1,0,0,2,2
A. Navarro,2.444444444,9.888888889,40,61.22222222,6,5,5.444444444,340,8.5
A. Neczwid,1,3,1,50,1,0,2,2,2
A. Nico Habermann,1.846153846,0.846153846,24,44,11,11,1.461538462,1999,83.29166667
A. Nitayama,0,14,1,0,0,0,0,0,0
A. Nunez,1.8,5.8,15,50.6,4,2,0.6,86,5.733333333
A. O. Boryssenko,1,1,1,32,1,0,0,7,7
A. O. C. Elegbede,1,3,1,17,1,1,0,87,87
A. Ochoa,1.5,8.75,7,34.75,3,1,1,25,3.571428571
A. Ohmichi,1,4,1,28,1,0,0,2,2
A. Okazaki,1,1,1,35,1,1,0,13,13
A. Okomo,1,113,1,37,1,1,0,409,409
A. Omodeo,1,1,1,18,1,0,0,2,2
A. Onozawat,1,3,1,23,0,0,0,0,0
A. Osman,1.666666667,4.111111111,24,31.88888889,3,3,1.111111111,72,3
A. Ozmen,1,0,1,38,0,0,0,0,0
A. P. Dorey,1.25,3,13,15.25,3,1,0,32,2.461538462
A. P. J. Jansen,1,2,12,22.5,2,0,0,19,1.583333333
A. P. Johnson,1,1,1,24,0,0,0,0,0
A. P. K. Reddy,1,2,1,22,1,0,0,5,5
A. P. Niranjan,1,1,1,34,1,0,2,9,9
A. P. Preethy,1.5,2.5,3,36.5,2,0,0.5,12,4
A. P. Redfern,2,7,1,35,0,0,0,0,0
A. P. Seitsonen,1,15,1,14,1,0,4,4,4
A. P. Shanthi,1.5,4.75,6,36,4,2,5.5,48,8
A. P. Shenoy,1,1,1,27,1,1,0,57,57
A. P. Shivaprasad,1.142857143,1.714285714,18,42,3,2,0,419,23.27777778
A. P. Wim B\xc3\xb6hm,2.714285714,7.476190476,30,66.95238095,17,33,8.333333333,1103,36.76666667
A. P.-C. Ng,1,0.5,7,43,1,1,0,14,2
A. Padilla-Medina,1,2.666666667,5,27.33333333,2,0,0,8,1.6
A. Pagano,1,10.66666667,9,19.66666667,2,0,0,7,0.777777778
A. Pahi,2,9,1,53,2,2,0,81,81
A. Pal,7.1,26.1,34,176.3,36,88,9.5,4792,140.9411765
A. Palit,1,4.5,5,27,2,0,0,15,3
A. Palma,1.25,4.5,11,20.5,2,0,0,13,1.181818182
A. Pantelimon,1,4,1,20,1,0,0,7,7
A. Paolini,0,43,1,0,0,0,0,0,0
A. Papadopoulos,4.25,12.9375,21,76.3125,18,29,10.1875,1356,64.57142857
A. Parker,1.833333333,6.388888889,28,49.61111111,14,15,0.777777778,585,20.89285714
A. Parreira,1.5,4,2,27.5,3,0,0,15,7.5
A. Patel,1.866666667,5.666666667,19,46.26666667,10,10,4.133333333,645,33.94736842
A. Patra,1,2,2,23,2,1,0,26,13
A. Paul Millar,1.8,12.4,7,51.2,8,8,1,922,131.7142857
A. Pavlov,1,6.5,10,20,1,0,0,5,0.5
A. Paz,3.25,19.41666667,19,38.5,6,2,2.583333333,77,4.052631579
A. Pedar,1,0.5,2,14,1,0,0,8,4
A. Pedram,1,4,2,7.5,2,0,0,10,5
A. Penningsfeld,1,0,1,8,0,0,0,0,0
A. Perez-Pascual,1,5.166666667,7,23,3,2,0.5,46,6.571428571
A. Perles,1.166666667,2,22,23.66666667,4,1,0,68,3.090909091
A. Petricola,1,3,1,15,1,0,2,1,1
A. Petrov,2,8.7,18,66.3,7,3,0.1,138,7.666666667
A. Picciriello,1,2,1,34,1,0,0,2,2
A. Pink,1,0,5,3,0,0,0,0,0
A. Piziali,1,5,1,32,0,0,0,0,0
A. Plaza,2.25,3,8,35.75,3,1,0,24,3
A. Pneymatikakis,1,10,1,20,0,0,0,0,0
A. Polyhroniadis,1,1,1,12,0,0,0,0,0
A. Poncet,1,3,23,24.5,1,1,0,30,1.304347826
A. Pozgaj,2,4,1,51,2,1,17,20,20
A. Prabhu,2.5,41,2,81.5,4,1,0,150,75
A. Prasad Sistla,3.576923077,8.153846154,27,109.7692308,39,65,16,13335,493.8888889
A. Prasad Vinod,5.428571429,14.42857143,9,129.5714286,10,11,1.142857143,266,29.55555556
A. Proserpio,1,3,1,44,1,0,0,1,1
A. Prosperini,0,53,1,0,0,0,0,0,0
A. R. Baba-Ali,1,2,5,17,2,0,2,10,2
A. R. Barkocy,1,0,1,32,0,0,0,0,0
A. R. Boothroyd,1,2,4,28,2,1,0,62,15.5
A. R. Carrillo,1,3,1,37,0,0,0,0,0
A. R. Helland,1,1,1,32,0,0,1,0,0
A. R. Hurson,1,0.5,7,18,1,1,0,11,1.571428571
A. R. Jim\xc3\xa9nez,1.2,5.4,11,29.8,3,2,1.2,68,6.181818182
A. R. Klayton,1,2,1,32,1,0,0,1,1
A. R. Mohan,1,4,1,13,1,0,4,5,5
A. R. Naseer,1.142857143,2.714285714,15,21.14285714,4,2,0.428571429,39,2.6
A. R. Nayak,1.25,3.5,13,28,3,1,0,30,2.307692308
A. R. Pierce,1,0,1,32,0,0,0,0,0
A. R. Sharafat,0,1,1,0,0,0,0,0,0
A. R. Teene,1,2,1,28,1,0,0,2,2
A. R. Virupakshia,1,1,1,27,0,0,0,0,0
A. R. Voizey,1,2,1,12,0,0,0,0,0
A. Rahim,1.8,13,35,41,6,3,0.5,83,2.371428571
A. Rahimi,1,5.4,34,29.2,4,1,0.6,42,1.235294118
A. Rahman,3.142857143,19.57142857,8,50.42857143,7,5,0.428571429,208,26
A. Raina,1,8,1,9,0,0,0,0,0
A. Rajaram,1,2.333333333,22,15.66666667,1,0,0,5,0.227272727
A. Raju,1,3,19,25,2,1,0,32,1.684210526
A. Rao,1.5,7.5,21,33.16666667,3,1,0,124,5.904761905
A. Ratan Gupta,1,1,1,12,0,0,0,0,0
A. Raucea,1,2,1,22,1,0,8,1,1
A. Ravichandran,1,1.2,10,40.4,3,2,0.2,30,3
A. Ravinagarajan,0,2,1,0,0,0,0,0,0
A. Rea,2.25,10,36,47.875,6,5,1.125,221,6.138888889
A. Rebaine,1,2,1,12,1,0,0,2,2
A. Reina Nieves,1,10,1,5,1,0,0,2,2
A. Reisman,1,0,1,15,0,0,0,0,0
A. Ribagorda,1,2,1,18,1,0,0,1,1
A. Ribordy,1,16,1,34,1,0,3,7,7
A. Richard F. Newbold,1,2,1,20,0,0,0,0,0
A. Richard Newton,3.833333333,7.333333333,27,104.0833333,36,64,5.583333333,4380,162.2222222
A. Robert Calderbank,5.12,19.96,26,279.84,35,77,1.12,19756,759.8461538
A. Robinson,2.481481481,6.407407407,44,70.59259259,17,27,1.259259259,1695,38.52272727
A. Robson,1.5,3,13,36.5,3,2,0,29,2.230769231
A. Rocchi,1.666666667,10.66666667,5,72.33333333,4,2,0.666666667,30,6
A. Romano,1.444444444,3.888888889,21,40.33333333,5,4,0,137,6.523809524
A. Rosado,1,5,1,24,1,0,0,5,5
A. Roth,1.904761905,6.333333333,32,48.9047619,15,18,4.571428571,1614,50.4375
A. Rubio,1.333333333,5.777777778,17,24.44444444,7,5,0.222222222,266,15.64705882
A. S. Al-Ahmadi,0,4,1,0,0,0,0,0,0
A. S. Al-Dmour,1,1,1,12,1,0,0,3,3
A. S. Ashur,1,2,3,22.33333333,2,1,0,25,8.333333333
A. S. Dhar,1,3,8,20,1,1,0,30,3.75
A. S. Georghiades,0,3,1,0,0,0,0,0,0
A. S. Krishnakumar,1.75,5.166666667,22,55.25,12,12,3.25,976,44.36363636
A. S. Madhukumar,5,20.5,18,157,7,6,0.5,199,11.05555556
A. S. Mahadevan,1,3,1,12,1,0,0,3,3
A. S. Mahmudul Hassan,1,1,1,27,1,1,0,53,53
A. S. Mandal,1.5,14.5,7,18,2,0,0,15,2.142857143
A. S. Nepomniaschaya,1.555555556,0.222222222,11,20.22222222,5,2,0.666666667,71,6.454545455
A. S. Ohmacht,1,9,1,38,0,0,0,0,0
A. S. Partridge,1,4,1,42,1,1,13,208,208
A. S. Sethi,1,1.5,2,22.5,2,2,0,63,31.5
A. S. Seyedi,2,6,1,38,2,0,0,6,6
A. S. Shieh,1,0,1,28,1,0,0,2,2
A. S. Umar,2,9,1,67,2,0,0,5,5
A. S. de la Vega,1,2.5,7,32.5,1,0,0,3,0.428571429
A. Sadrabadi,1,2,1,13,1,0,9,8,8
A. Sai Sudhir,1,2,1,38,1,1,0,26,26
A. Saleh,4,10.05,26,136.15,24,42,4.9,3044,117.0769231
A. Salem,1.571428571,4,25,40.85714286,5,5,2,108,4.32
A. Salinas,2,16,1,62,2,1,0,36,36
A. Salz,2.571428571,12.14285714,16,56.28571429,9,8,1.571428571,419,26.1875
A. Sameh,3,6,1,87,0,0,0,0,0
A. Santhana Raj,0,5,1,0,0,0,0,0,0
A. Sarkar,1,4.333333333,16,15.33333333,1,1,0,37,2.3125
A. Sarotama,1,5,1,12,0,0,0,0,0
A. Sch\xc3\xb6llhorn,1,4,1,34,0,0,0,0,0
A. Sch\xc3\xbctz,1,49,1,28,1,1,0,25,25
A. Schlaffer,1,1.5,4,11.5,1,0,1,3,0.75
A. Schram,1.25,45.5,11,26,3,1,0.25,416,37.81818182
A. Schulz,1.307692308,3.461538462,29,20.38461538,7,7,0.923076923,308,10.62068966
A. Sebasti\xc3\xa1,1,2.333333333,7,11.66666667,1,0,0,8,1.142857143
A. Sefidcon,1,3,1,15,1,0,0,6,6
A. Sel\xc3\xa7uk G\xc3\xbcceglioglu,1.333333333,2,6,34,2,2,0,47,7.833333333
A. Selcuk Uluagac,1,14,6,18,2,1,2.5,16,2.666666667
A. Sen,3.884615385,14.65384615,50,81.73076923,20,37,4.192307692,1568,31.36
A. Sengupta,1,2,45,27.42857143,4,2,0,201,4.466666667
A. Serra,3.066666667,10.93333333,28,52.2,12,19,5.266666667,466,16.64285714
A. Seyedi,1.5,4,12,27,1,0,0,5,0.416666667
A. Shacham,1,5,1,16,1,0,0,3,3
A. Shallof,1,1,1,27,0,0,2,0,0
A. Shanker,0,3,1,0,0,0,0,0,0
A. Sharan,1,6,1,32,1,0,0,1,1
A. Sharma,1.833333333,4.583333333,23,42.41666667,8,7,0.416666667,238,10.34782609
A. Shiraz Memon,2.5,50,2,32.5,4,3,3,50,25
A. Sidelnik,1,14,1,37,0,0,0,0,0
A. Singla,1,1,1,12,1,0,0,2,2
A. Sinha,1,5.75,17,21,2,1,0,15,0.882352941
A. Skjellum,1,3,1,38,1,1,0,35,35
A. Sloman,1.25,4.75,8,20.5,4,4,0,313,39.125
A. Sotomayor,1,3,1,12,0,0,0,0,0
A. Sousa,1.5,9.5,4,20.75,4,3,0,103,25.75
A. Sp\xc3\xb6rl,1,8,1,16,1,1,0,11,11
A. Sreedhar,0,2,1,0,0,0,0,0,0
A. Sreenivas,1,2.25,16,30.75,2,1,0,25,1.5625
A. Sriram,1,1,1,12,1,0,0,1,1
A. Srivastava,1.333333333,7.166666667,20,54,4,2,5.166666667,357,17.85
A. Steidl,1,11,2,28,2,0,0,10,5
A. Stewart,5.913043478,14.91304348,23,130.4347826,23,45,7.391304348,2086,90.69565217
A. Stoll,1.571428571,6,16,51.14285714,10,10,0.714285714,352,22
